GeneID	GeneName	blastula 128-cell	blastula1k-cell	blastuladome	cleavage2-cell	gastrula50-epiboly	gastrula75-epiboly	gastrulashield	hatchinglong-pec	larvalday4	larvalday5	larvalprotrudingmouth	pharyngulaprim-15	pharyngulaprim-25	pharyngulaprim-5	segmentation1-4somites	segmentation14-19somites	segmentation20-25somites	zygote
ENSDARG00000023963	tpm4a	0.3	0.5	1	0.3	1	6	3	60	40	29	54	80	57	98	54	73	90	0.4
ENSDARG00000023967	atp6v1c1a	17	21	8	2	5	15	7	26	37	35	45	22	20	23	23	17	21	0.8
ENSDARG00000023988	dctn4	15	19	11	9	7	3	3	11	12	11	11	10	13	10	8	11	13	16
ENSDARG00000023989	pef1	5	2	5	70	11	18	12	12	13	9	15	15	14	17	24	22	22	69
ENSDARG00000023999	heatr5a	25	26	19	12	7	4	3	3	4	4	4	4	5	5	6	6	5	6
ENSDARG00000024006	rprmb	0	0	0	0	0	0	0	0.8	3	3	4	1	0.6	3	4	9	8	0
ENSDARG00000024017	mamdc1	0.2	0.3	0.5	0	0	0	0	1	5	5	5	0.3	0.8	0.3	0.3	0.3	0.4	0
ENSDARG00000024026	sdf2	32	35	36	15	17	10	10	7	6	5	8	10	8	11	14	11	13	7
ENSDARG00000024030	angptl2a	0	0	0	0	0	0	0	2	4	3	4	2	2	3	1	3	3	0
ENSDARG00000024032	coch	0	0	0	0	0	0	0	0	7	7	3	0	0	0	0	0	0	0
ENSDARG00000024047	tmem38a	0	0	1	0	1	1	1	201	145	153	173	239	237	157	3	20	70	0
ENSDARG00000024090	dnajc4	2	2	2	4	2	1	2	3	5	6	5	3	4	2	2	3	3	2
ENSDARG00000024092	lmbr1	3	5	5	1	3	5	4	6	6	6	6	6	10	6	8	8	8	2
ENSDARG00000024101	adra1d	0	0	0	0	0.1	0	0.1	1	1	1	1	1	1	1	0.5	0.4	0.6	0
ENSDARG00000024109	naa40	92	101	123	90	115	50	78	29	15	15	18	39	39	43	55	55	51	75
ENSDARG00000024112	gmppaa	5	6	4	2	3	2	2	10	11	10	11	11	12	11	10	10	13	6
ENSDARG00000024116	vamp8	26	29	13	24	22	25	21	15	19	16	16	18	11	14	20	16	16	32
ENSDARG00000024124	sde2	130	118	150	94	164	63	139	13	10	9	11	14	18	16	30	26	22	51
ENSDARG00000024139	p2rx8	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0.6	0	0	0	0	0
ENSDARG00000024141	cav3	0	0	0	0	0	0	0	77	45	39	58	127	99	85	0.7	7	32	0
ENSDARG00000024160	hao1	0	0	0	0	0	0	0	42	22	16	21	65	19	62	2	2	11	0
ENSDARG00000024167	kcnh1a	0	0	0	0	0	0	0	0.1	0.3	0.6	0.2	0	0	0.1	0	0	0	0
ENSDARG00000024184	narf	43	49	38	6	10	10	9	15	9	8	11	13	15	13	15	15	15	5
ENSDARG00000024189	pnocb	0.3	0.5	0.9	0	2	3	3	0.6	2	2	2	0.7	0.7	0.7	4	1	0.7	0
ENSDARG00000024195	znf395b	15	20	15	4	4	0.7	1	3	16	25	12	2	3	4	3	3	2	3
ENSDARG00000024204	mcm3	1	1	21	0.3	71	118	114	26	16	12	15	71	50	98	130	105	97	0.7
ENSDARG00000024209	wasf2	116	98	96	102	51	32	32	21	21	20	19	28	24	34	35	31	32	90
ENSDARG00000024219	zgc:55582	6	8	4	1	1	0.8	0.3	3	5	5	4	2	3	3	2	0.9	2	0.8
ENSDARG00000024229	ubl7a	16	17	6	16	2	0.4	0.6	4	7	8	7	2	3	2	0.9	1	2	9
ENSDARG00000024276	pcbp4	0	0	0	0	0	0.2	0	19	19	18	21	11	20	11	4	8	12	0
ENSDARG00000024277	pigm	12	11	12	7	4	2	2	2	2	2	3	2	4	3	4	5	4	5
ENSDARG00000024278	adh8b	11	23	20	6	17	11	17	65	111	109	76	96	48	93	21	27	41	13
ENSDARG00000024295	slc11a2	28	29	38	13	30	19	26	21	25	27	18	36	22	46	30	31	39	5
ENSDARG00000024299	c1qtnf4	2	4	1	0.7	0.5	0	0.2	5	17	18	15	1	2	0.3	0.1	0.1	0.1	2
ENSDARG00000024306	zbed4	8	11	14	6	14	12	14	9	6	6	6	8	10	10	11	9	10	8
ENSDARG00000024311	nsmce4a	72	77	70	83	50	9	26	5	4	3	3	7	6	10	17	14	13	53
ENSDARG00000024314	herpud1	101	111	34	17	12	13	14	12	15	13	15	11	10	14	13	14	15	15
ENSDARG00000024317	trap1	16	16	21	7	20	18	20	11	13	9	15	14	13	18	19	15	18	5
ENSDARG00000024324	arhgap1	28	29	8	9	6	6	7	17	23	21	24	14	17	12	11	11	15	10
ENSDARG00000024325	col4a3bpa	20	25	19	9	22	31	24	5	5	4	4	6	4	6	11	6	7	6
ENSDARG00000024365	crlf1a	4	2	2	1	2	0.6	1	3	3	4	4	3	3	3	3	5	5	0.3
ENSDARG00000024381	msto1	6	7	10	6	20	28	24	3	4	6	4	4	5	6	17	13	11	1
ENSDARG00000024398	get4	43	42	32	25	8	6	4	23	17	16	21	24	23	26	19	22	24	15
ENSDARG00000024416	twistnb	23	22	18	53	19	21	20	4	3	4	4	6	6	10	22	23	17	56
ENSDARG00000024431	CABZ01069595.1	21	21	15	10	7	9	5	5	5	4	6	6	7	10	7	7	10	6
ENSDARG00000024433	pvalb4	0	0	0	0	0	0	0	440	579	641	568	162	241	28	0	0	0	0
ENSDARG00000024443	gnpda2	8	9	9	11	12	13	10	12	8	6	9	18	8	23	18	12	18	9
ENSDARG00000024465	mrps18a	27	44	32	2	20	15	17	26	20	15	28	31	29	31	24	35	35	6
ENSDARG00000024471	nsl1	10	10	6	5	14	23	20	6	3	0.9	3	8	7	10	16	15	13	1
ENSDARG00000024478	mpc2	15	15	15	11	17	16	13	69	77	58	83	80	70	82	34	49	58	3
ENSDARG00000024479	pigk	5	3	2	1	0.8	1	0.5	4	5	3	5	3	3	4	2	2	3	0.2
ENSDARG00000024488	top2a	24	12	20	123	38	59	62	37	17	11	18	59	54	66	54	48	56	66
ENSDARG00000024492	col9a2	0.2	2	1	2	1	0.5	0.7	122	178	119	231	91	90	79	4	27	65	0.1
ENSDARG00000024503	c6ast3	0	0	0	0	0	0	0	0	6	21	0	0	0	0	0	0	0	0
ENSDARG00000024537	emilin1a	0	0	0	0	0.1	0	0.2	8	5	4	8	6	8	5	0.7	3	3	0
ENSDARG00000024540	tspan36	87	52	27	203	19	11	14	46	41	36	46	51	37	43	7	8	20	70
ENSDARG00000024546	pla2g4aa	0.9	2	2	0	0.6	0.6	0.2	2	2	2	2	2	1	2	3	1	2	0.3
ENSDARG00000024548	cryba4	0	0	0	0	0	0	0	680	845	1072	930	119	308	20	0	1	2	0
ENSDARG00000024560	slc4a1b	0.2	0.2	0	0.3	0	0.4	0	2	5	6	4	2	0.6	3	1	0.6	1	0.2
ENSDARG00000024561	nolc1	160	141	169	90	198	190	232	18	18	15	19	36	28	61	125	92	89	69
ENSDARG00000024564	sccpdhb	13	11	12	9	8	3	4	10	13	13	12	8	10	7	7	8	10	13
ENSDARG00000024575	kif26bb	0	0	0	0	0.1	0	0	1	1	1	0.9	0.1	0.2	0	0	0	0	0
ENSDARG00000024588	gpc5b	0	0	0	0	0	0	0	1	4	4	3	0.5	1	0.1	0	0	0.4	0
ENSDARG00000024598	homezb	29	26	15	39	9	12	7	19	9	8	10	18	24	17	18	18	21	37
ENSDARG00000024602	zgc:162964	4	4	13	4	31	26	28	3	4	2	4	4	2	4	11	4	4	6
ENSDARG00000024619	si:ch211-206a7.2	0	0	0	0	0	0	0	3	3	3	3	0.7	1	0.5	0.2	0.2	0.3	0
ENSDARG00000024631	si:ch211-122c9.5	0.3	0	0.1	0.2	0.2	0	0.3	0	0	0	0	0.1	0	0	0.2	0.2	0.1	2
ENSDARG00000024642	pip5k1ab	27	29	24	8	19	14	14	6	5	5	5	6	8	6	12	7	8	9
ENSDARG00000024651	snrpa1	117	129	138	190	167	103	149	25	13	11	16	35	42	49	88	89	74	167
ENSDARG00000024654	pgm3	13	14	8	5	3	2	3	5	5	3	5	7	6	8	6	6	8	6
ENSDARG00000024669	oser1	52	56	45	9	36	27	32	18	15	17	16	16	19	17	25	23	19	9
ENSDARG00000024681	pane1	55	57	66	92	53	36	44	12	6	5	6	22	20	25	26	24	25	108
ENSDARG00000024687	polr3g	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSDARG00000024693	lysmd3	70	96	65	38	24	20	21	9	9	8	11	11	9	9	15	14	12	15
ENSDARG00000024694	myo1b	11	12	5	11	2	2	1	12	21	16	13	10	14	10	8	10	11	10
ENSDARG00000024708	slc25a23b	0	0	1	0	2	1	1	0.9	3	4	2	0.6	0.6	0.5	0.5	0	0	0
ENSDARG00000024717	selenbp1	29	25	19	7	14	5	8	9	20	16	12	11	10	14	10	10	12	8
ENSDARG00000024728	hdhd2	3	10	10	2	6	2	2	7	5	4	6	5	4	6	4	5	7	0.8
ENSDARG00000024740	gng13a	0	0	0	0	0	0	0	0	6	4	6	0	0	0	0	0	0	0
ENSDARG00000024744	dpp6b	0.4	0.4	0.2	0	0.1	0	0.1	2	9	9	7	1	1	0.5	0	0.4	0.6	0
ENSDARG00000024746	hsp90aa1.2	0.6	0.5	2	0.6	3	16	20	12	14	12	20	11	10	12	6	4	12	1
ENSDARG00000024759	inhbab	0	0	0	0	0	0	0	0	0.7	0.7	0.6	0	0	0	0	0	0	0
ENSDARG00000024771	slc24a5	0	0	0	0	0	0	0	7	4	3	5	5	7	2	0	0	0.3	0
ENSDARG00000024775	si:ch211-129c21.1	27	21	4	44	1	0.3	0.5	3	4	5	4	3	2	4	0.9	2	3	20
ENSDARG00000024785	ctnna2	8	7	9	4	4	0	2	16	11	10	14	9	11	3	0.1	0.3	0.9	2
ENSDARG00000024789	mxc	0	0	0	0	0	0	0	1	1	1	1	0.7	0.9	0.2	0	0	0.2	0
ENSDARG00000024815	ogfrl2	4	5	4	1	1	0.5	1	0.4	1	1	0.6	0.2	0.3	0.6	2	1	0.7	1
ENSDARG00000024818	rilpl2	2	3	2	0.7	3	4	4	4	5	3	6	5	5	5	7	6	7	0
ENSDARG00000024827	rnf150a	3	4	2	0.4	0.4	0	0.4	0.5	1	1	1	0.4	0.4	0.1	0.4	0.2	0.2	0.2
ENSDARG00000024828	tmem134	14	21	33	12	104	136	122	14	8	6	10	24	25	32	56	49	44	10
ENSDARG00000024829	tnw	0.4	1	1	0.6	1	0.4	0.9	152	75	58	86	94	104	29	0	0.3	4	0.2
ENSDARG00000024831	crhbp	0	0	0	0	0	0	0	2	9	12	11	2	0.8	2	0	1	4	0
ENSDARG00000024844	max	97	111	116	69	123	98	105	34	31	30	37	39	40	45	73	63	59	49
ENSDARG00000024846	cops8	17	19	21	3	24	16	21	20	17	15	20	22	23	26	23	27	26	0.9
ENSDARG00000024847	col5a2b	0.5	0.2	0.4	0.2	0.3	0	0.1	0.8	4	3	2	0	0.1	0.2	0.9	0.2	0.2	0.2
ENSDARG00000024865	dscama	1	1	0.3	1	0.7	0	0.1	6	9	9	9	1	3	1	0.1	0.2	0.5	2
ENSDARG00000024873	AL935174.1	0	0	0	0	0.3	0.6	1	0.6	0.7	0.7	0.6	0	0	0	0	0.5	0	0
ENSDARG00000024874	dock4b	10	8	4	9	0.5	1	0.5	3	4	4	4	3	3	3	4	3	3	5
ENSDARG00000024877	ptgr1	34	31	12	49	7	10	7	17	12	7	13	41	26	48	20	30	39	57
ENSDARG00000024894	tbx5a	0	0	0.3	0	1	0	0.3	0.8	0.6	0.6	0.7	1	1	1	0	0.3	0.6	0
ENSDARG00000024895	fam50a	25	30	31	44	42	60	54	24	18	17	21	25	28	30	46	42	36	54
ENSDARG00000024904	stil	36	21	8	110	8	11	10	3	1	0.7	1	5	5	6	10	8	8	98
ENSDARG00000024920	tmem136a	6	8	11	9	17	34	28	7	5	5	5	7	9	6	21	16	11	6
ENSDARG00000024933	spast	52	46	24	41	19	16	23	8	9	8	8	8	9	8	12	11	10	25
ENSDARG00000024940	rnf144b	7	7	7	2	25	20	30	6	9	9	7	6	5	6	8	7	8	0.9
ENSDARG00000024954	tmed4	2	0.9	0.9	0.4	1	6	3	21	14	11	18	16	16	13	9	10	9	0.2
ENSDARG00000024964	inadl	11	11	10	5	9	2	5	2	3	3	2	2	2	2	3	2	2	4
ENSDARG00000024966	MARK4 (1 of many)	6	4	2	2	2	6	4	16	12	12	13	12	15	11	9	9	10	0.4
ENSDARG00000024967	fancg	34	35	13	52	5	5	4	1	1	1	1	2	3	3	5	4	4	55
ENSDARG00000025011	synj1	4	4	1	2	0.3	0.9	0.6	7	12	12	13	4	6	4	2	2	3	2
ENSDARG00000025012	tpi1a	57	53	30	20	7	0.7	3	7	13	11	13	5	7	3	0.7	0.6	2	5
ENSDARG00000025013	gna14a	0	0	0	0	0	0	0	0	2	2	0.8	0	0	0	0	0	0	0
ENSDARG00000025017	prdm8	0	0.1	0	0.5	0	0.2	0	7	1	1	2	9	8	7	7	5	6	0.3
ENSDARG00000025024	pnoca	0	0	0	0	0	0	0	3	2	2	2	2	2	0.9	0	0	0.5	0
ENSDARG00000025032	nr3c1	13	14	2	3	1	4	3	12	16	18	15	12	11	12	7	6	8	3
ENSDARG00000025033	stx5a	43	47	39	31	18	9	9	10	9	7	10	9	10	9	11	11	11	14
ENSDARG00000025034	syngr3b	0	0	0	0	0	0	0	5	12	13	14	2	3	2	0	0.2	1	0
ENSDARG00000025043	trip13	11	7	2	42	3	6	4	5	2	2	3	10	8	11	13	11	13	13
ENSDARG00000025071	brd8	50	52	60	68	60	42	55	24	13	13	15	25	28	25	26	24	25	87
ENSDARG00000025073	rpl18a	67	80	124	172	214	343	256	771	597	678	601	930	864	965	697	1015	978	141
ENSDARG00000025074	slc25a10	24	20	19	55	10	4	3	18	28	22	21	19	17	17	9	13	14	40
ENSDARG00000025076	marveld2a	39	35	29	32	5	4	3	4	5	5	5	7	5	8	8	8	9	28
ENSDARG00000025081	grnb	32	35	32	8	17	15	11	9	12	10	8	9	9	11	9	6	9	8
ENSDARG00000025089	loxl4	0	0	0	0	0	0	0	0.7	3	2	3	0.3	0.9	0.4	0.3	0.4	0.4	0
ENSDARG00000025091	ezrb	81	78	52	64	16	7	5	24	36	33	35	26	27	23	27	20	23	56
ENSDARG00000025094	edem1	49	52	53	69	32	15	17	9	14	10	12	12	9	12	12	11	14	55
ENSDARG00000025106	ppp3cb	2	1	0.9	0.7	1	0.7	0.6	11	23	23	25	4	7	3	0.4	0.7	1	0.6
ENSDARG00000025108	magixa	1	1	2	0.3	0.7	0	0.2	0.8	1	2	1	0.2	0.5	0.3	0.2	0.2	0	0
ENSDARG00000025131	lbx2	3	1	2	0.6	0.4	9	1	12	6	5	8	8	13	7	21	8	7	0.9
ENSDARG00000025147	cd63	0.6	2	3	0.3	6	19	8	84	107	94	99	94	68	103	73	59	80	0.5
ENSDARG00000025162	asic4a	0	0	0	0	0	0	0	0.8	3	2	3	0.4	0.8	0.2	0	0.2	0.1	0
ENSDARG00000025168	mpp7b	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025174	HABP4	173	193	134	67	67	25	52	0.6	0.6	0.6	0.6	1	0.5	0.8	4	2	1	20
ENSDARG00000025187	six6a	0	0	0	0	0	0	0	3	2	2	2	2	2	1	0	1	2	0
ENSDARG00000025189	cpne8	0.3	0.4	0.3	0.2	0	0	0.2	0	1	1	0.6	0	0	0	0	0	0	0
ENSDARG00000025206	syt2a	0.4	5	0.8	1	1	0.8	0.8	2	6	6	4	2	2	1	0.4	0.6	1	0.7
ENSDARG00000025212	cpsf3l	10	8	2	23	3	12	7	11	8	7	9	14	15	16	17	19	19	31
ENSDARG00000025218	myo5ab	2	2	1	0.2	0.4	0	0.1	0.2	0.3	0	0.2	0.1	0.1	0	0	0	0	0.6
ENSDARG00000025220	sppl3	72	63	70	41	67	40	51	17	18	15	18	17	20	17	25	19	18	19
ENSDARG00000025226	znf668	31	32	23	15	11	11	11	5	3	3	3	5	6	5	7	5	7	11
ENSDARG00000025233	lipt1	3	5	2	0.6	0.6	2	0.6	4	3	2	4	5	5	3	5	6	6	0.3
ENSDARG00000025254	s100a10b	0.8	0	0.9	0	3	3	3	161	88	76	104	156	92	119	5	23	51	0
ENSDARG00000025269	pdcd6ip	44	41	13	24	7	5	6	23	34	31	29	19	24	16	8	10	14	24
ENSDARG00000025275	gbgt1l1	3	3	0.4	2	0	0	0	0	0.8	1	0.8	0.2	0	0	0	0	0	4
ENSDARG00000025285	panx1a	19	20	18	17	27	35	33	8	8	8	8	11	12	13	26	24	19	17
ENSDARG00000025299	tspan9a	4	3	2	1	0.4	0	0	2	4	3	5	1	1	2	2	4	5	0.8
ENSDARG00000025301	gfap	0	0	0	0	0	0	0	74	60	55	89	81	82	78	20	77	92	0
ENSDARG00000025302	dixdc1a	0	0	0	0	0	0.9	0	14	12	12	13	8	11	6	3	3	5	0
ENSDARG00000025309	dpf3	0	0.4	0	0	0	0	0	7	5	4	5	3	5	2	1	1	2	0
ENSDARG00000025311	cuzd1.2	0	0	0	0	0	0	0	0	0.7	2	0	0	0	0	0	0	0	0
ENSDARG00000025319	fynb	6	7	7	4	2	1	0.7	4	5	5	4	3	5	3	4	4	4	1
ENSDARG00000025320	COL21A1	0	0	0	0	0	0	0	2	2	0.8	1	2	2	0.8	0	0	0.1	0
ENSDARG00000025325	ccsapa	0.3	1	0.5	0.1	0	0	0	1	3	3	2	0.3	0.7	0	0.1	0	0	0
ENSDARG00000025326	myl12.2	44	68	65	9	73	75	67	45	40	38	38	46	44	52	78	70	65	6
ENSDARG00000025332	rbm28	29	30	29	4	32	37	35	10	10	12	10	14	14	24	47	38	35	2
ENSDARG00000025335	nek10	0	0	0	0.2	0	0	0	0.1	0.2	0.3	0.2	0	0	0	0	0	0	0.1
ENSDARG00000025338	hagh	5	4	3	2	1	3	1	10	23	27	15	15	7	20	8	8	15	2
ENSDARG00000025340	tusc2b	14	18	15	6	13	17	15	22	19	18	23	21	22	21	24	26	24	6
ENSDARG00000025346	znf277	11	15	8	0.6	2	0.8	0.5	5	7	6	7	5	7	7	5	6	7	0.5
ENSDARG00000025348	igfbp5b	0	0	0	0	0	0	0	11	22	20	19	10	10	10	3	6	8	0
ENSDARG00000025350	prdx2	77	110	101	38	54	32	30	225	292	291	235	223	204	169	62	89	131	6
ENSDARG00000025372	admp	0	0.4	17	0	27	46	39	0	0	0	0	0	0	0	3	1	0.2	0
ENSDARG00000025375	idh1	77	48	17	171	32	54	46	33	93	87	45	34	35	35	40	29	36	174
ENSDARG00000025383	arl2bp	18	17	8	16	9	10	6	5	4	4	6	4	5	5	15	9	12	21
ENSDARG00000025386	lsm14b	268	235	114	110	16	1	5	0.5	0	0	0	0	0	0	0.5	0.2	0	63
ENSDARG00000025391	pfdn2	26	28	27	18	51	62	47	34	24	19	27	48	51	55	80	68	72	4
ENSDARG00000025397	srsf3a	11	12	23	18	48	67	74	17	11	11	13	25	22	29	46	43	32	21
ENSDARG00000025403	ftr83	3	3	33	3	139	89	147	11	10	10	10	20	10	23	26	19	22	2
ENSDARG00000025404	ube2g2	22	21	13	6	6	7	5	14	17	15	15	17	15	18	15	20	23	4
ENSDARG00000025420	fzd5	15	22	4	4	0.5	0.8	0.8	7	5	6	5	10	16	8	6	7	8	2
ENSDARG00000025421	tdrd3	33	36	21	11	12	13	12	7	7	8	7	8	10	9	14	10	10	4
ENSDARG00000025436	msrb1a	6	5	8	7	12	10	9	4	7	7	6	6	3	5	5	3	4	5
ENSDARG00000025465	spon2a	0	0	0.3	0	0.6	3	1	1	3	2	3	2	1	3	1	2	2	0
ENSDARG00000025467	aatf	36	33	33	13	28	25	25	6	5	5	5	8	10	14	30	24	22	10
ENSDARG00000025468	bnip3la	5	6	4	5	3	5	4	7	11	14	7	10	11	8	7	6	9	3
ENSDARG00000025478	gipr	0	0	0	0	0	0	0	0	0.9	1	0.5	0	0	0	0	0	0	0
ENSDARG00000025495	nhlh2	0	0	0	0	0	0.3	0	40	14	12	19	32	58	14	4	6	9	0
ENSDARG00000025500	mtx1a	31	33	12	32	3	2	2	3	4	4	5	2	5	3	4	5	5	33
ENSDARG00000025504	gucy2f	0	0	0	0	0	0	0	0	1	1	0.9	0	0	0	0	0	0	0
ENSDARG00000025507	wdr24	9	11	14	2	12	20	21	4	4	5	4	6	7	9	13	11	10	0.6
ENSDARG00000025513	dip2cb	29	17	4	44	0.5	0.2	0.2	3	7	8	7	2	2	1	1	0.7	0.9	50
ENSDARG00000025518	F8A2	33	40	19	14	6	5	4	8	7	5	10	6	8	8	5	7	8	17
ENSDARG00000025522	sgk1	19	20	6	19	3	2	2	10	25	41	23	8	8	14	8	9	11	24
ENSDARG00000025535	clint1a	7	6	9	2	21	42	35	20	20	15	19	26	20	33	34	29	32	1
ENSDARG00000025549	ndufaf1	2	2	1	0.9	2	5	2	10	11	10	13	9	9	9	9	9	10	0.3
ENSDARG00000025554	WDR83OS	32	30	26	23	49	67	51	53	34	27	49	64	67	85	85	89	90	6
ENSDARG00000025555	ormdl3	30	31	12	9	2	0	0.5	0	0.6	1	0.5	0.6	0	0.4	0.6	0	0	5
ENSDARG00000025559	pex11g	0.2	0.2	0.3	0	0.6	2	0.6	2	5	3	3	2	2	2	2	3	3	0
ENSDARG00000025566	slc25a3b	105	117	146	94	198	289	258	304	345	296	348	313	296	315	298	277	297	49
ENSDARG00000025567	nf2b	9	10	9	6	7	12	8	5	5	4	5	7	6	8	11	8	9	2
ENSDARG00000025576	mkln1	32	28	5	27	1	1	0.9	4	5	5	5	4	5	3	3	3	3	29
ENSDARG00000025577	zgc:66447	5	5	6	1	12	18	18	6	5	4	5	7	6	8	11	9	10	0.8
ENSDARG00000025581	rpl10	41	45	81	95	173	286	230	549	412	448	410	687	625	657	585	820	766	83
ENSDARG00000025593	plekhj1	2	2	2	2	1	1	1	3	4	4	4	3	3	2	2	2	2	0.3
ENSDARG00000025595	agmo	4	5	0.8	4	0	0	0	0.9	22	31	5	0.4	0.4	0.4	0	0	0	5
ENSDARG00000025605	nvl	28	28	31	20	34	35	38	10	8	10	8	14	15	18	32	29	26	30
ENSDARG00000025607	ifnphi1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025608	casp6l1	2	1	1	1	0.5	0.5	0	0.6	0.6	1	0.6	0	0.6	0	0.2	0.5	0	2
ENSDARG00000025615	prr15la	0	0	0	0	0	0.2	0	2	4	5	2	2	2	2	0.5	0.9	1	0
ENSDARG00000025641	gli2a	1	2	0.8	0.2	1	9	4	6	5	5	6	12	11	20	19	21	23	0.1
ENSDARG00000025667	adgrb2	0.4	1	0.8	0.4	0	0	0	0.4	4	4	3	0	0.2	0	0	0	0	0
ENSDARG00000025670	fstl3	0	0	0	0.5	0	0	0	2	14	20	12	0	0.5	0	0	0	0	0.9
ENSDARG00000025671	grm6b	0	0	0	0	0	0	0	1	5	5	6	0.6	0.9	0.6	0.1	0.3	0.5	0
ENSDARG00000025672	antxr1a	0.8	2	1	0.9	0	0	0	0.2	2	2	1	0	0.2	0	0	0	0	0.9
ENSDARG00000025679	comtb	0	0	0	0	0	0.8	0.4	5	5	4	5	3	4	2	0.8	1	2	0
ENSDARG00000025693	tmem9b	23	16	5	6	10	15	13	19	23	22	24	15	16	16	14	15	16	3
ENSDARG00000025699	mbd1b	59	51	23	25	15	22	19	10	8	7	9	12	14	12	21	16	15	19
ENSDARG00000025703	dmgdh	2	1	3	2	2	4	2	25	19	15	18	41	10	46	17	7	15	3
ENSDARG00000025718	cxxc1b	82	77	35	25	16	15	16	9	6	6	6	11	9	11	11	9	9	14
ENSDARG00000025728	grin1b	0	0	0	0	0	0	0	4	53	68	42	0.7	2	0	0	0	0	0
ENSDARG00000025754	ube2f	22	25	16	34	9	10	10	12	13	9	12	13	15	12	18	15	17	33
ENSDARG00000025757	tspan35	4	5	5	2	2	0.2	0.6	10	8	7	8	9	4	8	1	2	5	1
ENSDARG00000025766	DTX3	34	33	5	16	2	0.9	1	2	3	3	3	1	2	0.7	1	0.6	0.7	16
ENSDARG00000025788	chp2	29	30	21	19	4	0.4	1	4	10	12	7	4	5	3	2	4	4	17
ENSDARG00000025789	chd4b	33	30	34	35	54	91	74	44	31	28	31	56	63	60	72	62	59	31
ENSDARG00000025797	abhd2a	9	8	5	19	2	0.6	0.8	2	3	4	4	1	3	2	1	2	2	17
ENSDARG00000025808	taf5l	20	21	19	3	9	11	10	3	2	1	2	5	6	5	8	8	7	4
ENSDARG00000025820	chek2	73	69	22	49	11	11	9	3	2	2	3	8	7	11	14	14	13	34
ENSDARG00000025824	dmtf1	12	12	7	7	8	6	7	5	5	5	5	5	6	6	7	6	5	4
ENSDARG00000025826	gna12a	0	0	0	0	0.1	1	0.2	7	6	5	7	7	5	7	5	4	6	0
ENSDARG00000025847	sox12	0	0	0	0	0	0.2	0	40	9	11	10	5	24	0.9	0.4	0.4	0.5	0
ENSDARG00000025850	rps21	23	44	58	74	163	216	164	630	461	515	466	637	600	572	439	694	566	79
ENSDARG00000025854	ddx51	22	18	10	19	12	27	19	6	5	7	5	7	9	14	36	32	27	17
ENSDARG00000025855	camk2n1a	0.1	0	0	0	0	0	0	17	35	43	36	11	10	8	0.7	0.9	3	0
ENSDARG00000025858	zgc:56525	51	59	77	25	91	68	88	35	27	23	32	37	40	40	55	51	46	26
ENSDARG00000025859	lmf2b	60	50	38	27	15	6	8	26	15	12	15	34	35	32	13	14	23	24
ENSDARG00000025866	ankdd1b	0	0	0	0	1	1	0.6	0.5	1	1	1	0.5	0	0.6	0.5	0	0.4	0
ENSDARG00000025875	kctd2	2	1	2	0.6	2	2	2	3	7	6	5	2	2	2	2	2	2	0
ENSDARG00000025889	usp14	31	39	36	4	30	24	24	30	18	13	25	41	50	51	54	64	55	1
ENSDARG00000025891	shox	0	0	0	0	0	0	0	21	16	15	20	3	12	0.9	0.7	0	0.6	0
ENSDARG00000025899	pnx	0	0	0	0	5	4	5	0	0	0	0	0	0	0	7	2	1	0
ENSDARG00000025902	plekhg5a	8	9	2	4	0.2	0	0.1	3	5	6	6	2	2	2	0.3	1	2	3
ENSDARG00000025903	lgals9l1	0	0	0	0	0	0	0	1	4	3	2	0.1	0.4	0	0.3	0	0	0
ENSDARG00000025904	tecrb	25	28	26	6	20	13	17	65	66	50	68	59	49	44	6	10	22	5
ENSDARG00000025912	bscl2l	0	0	0	0	0	0	0	13	7	4	9	8	11	2	0	0	0	0
ENSDARG00000025914	si:dkey-190g11.3	0	0	0	0	0	0	0	0.8	0.9	3	0	0	0	0	0	0	0	0
ENSDARG00000025920	tiam1b	3	3	3	0.5	3	12	9	1	3	3	3	2	2	2	4	2	2	0.2
ENSDARG00000025948	mlh1	6	5	2	15	2	9	5	3	3	3	2	5	4	5	6	7	6	18
ENSDARG00000025949	irak1	15	9	2	10	1	2	2	2	2	1	1	1	2	1	2	1	1	5
ENSDARG00000025953	rhoq	19	26	28	14	16	0.3	3	7	7	7	10	5	8	2	0	0.3	0.5	2
ENSDARG00000025972	mcts1	23	33	29	9	33	28	26	35	31	24	36	47	52	51	65	71	70	3
ENSDARG00000025974	magi3b	2	3	2	1	0.4	0	0	0.3	1	1	0.9	0.2	0.4	0.1	0	0.1	0	0.5
ENSDARG00000025977	blmh	12	14	14	3	18	26	24	36	27	26	27	35	42	42	40	44	46	1
ENSDARG00000025983	l3mbtl3	2	3	2	0.6	0.7	0	0.1	0.2	0.7	0.5	0.4	0.5	0.3	0.6	0.2	0.2	0.3	0.3
ENSDARG00000026017	xpnpep2	0.3	0.3	0.2	0.6	0	0.3	0	0.3	6	12	1	0.3	1	0.1	0.2	0.2	0.2	0.5
